# z kT fraction_observed
2.500000000000000000e-01 5.500000000000000000e+00 8.970790035072423452e-01
3.000000000000000444e-01 5.500000000000000000e+00 8.817066982438421796e-01
3.500000000000000333e-01 5.500000000000000000e+00 8.676549680271951059e-01
4.000000000000000222e-01 5.500000000000000000e+00 8.543664505198149683e-01
4.500000000000000111e-01 5.500000000000000000e+00 8.423354973326996342e-01
5.000000000000000000e-01 5.500000000000000000e+00 8.312461904657395539e-01
5.500000000000000444e-01 5.500000000000000000e+00 8.211809737978449375e-01
6.000000000000000888e-01 5.500000000000000000e+00 8.111736262612051496e-01
6.500000000000000222e-01 5.500000000000000000e+00 8.021409169503713743e-01
8.000000000000000444e-01 5.500000000000000000e+00 7.780083966716669908e-01
9.000000000000000222e-01 5.500000000000000000e+00 7.648691624651704490e-01
1.000000000000000000e+00 5.500000000000000000e+00 7.530187736339619686e-01
1.100000000000000089e+00 5.500000000000000000e+00 7.436804915871663146e-01
1.199999999999999956e+00 5.500000000000000000e+00 7.360346776703006189e-01
1.399999999999999911e+00 5.500000000000000000e+00 7.273769877690389185e-01
1.600000000000000089e+00 5.500000000000000000e+00 7.173956780912041920e-01
0.000000000000000000e+00 6.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 6.000000000000000000e+00 9.729942438153152962e-01
1.000000000000000056e-01 6.000000000000000000e+00 9.504666034226798565e-01
1.500000000000000222e-01 6.000000000000000000e+00 9.297661789801677790e-01
2.000000000000000111e-01 6.000000000000000000e+00 9.104777835244899364e-01
2.500000000000000000e-01 6.000000000000000000e+00 8.932768427418350532e-01
3.000000000000000444e-01 6.000000000000000000e+00 8.773301168476352885e-01
3.500000000000000333e-01 6.000000000000000000e+00 8.627014173634213190e-01
4.000000000000000222e-01 6.000000000000000000e+00 8.488065645833595685e-01
4.500000000000000111e-01 6.000000000000000000e+00 8.360428932001419122e-01
5.000000000000000000e-01 6.000000000000000000e+00 8.242353759715623784e-01
5.500000000000000444e-01 6.000000000000000000e+00 8.135883605759288706e-01
6.000000000000000888e-01 6.000000000000000000e+00 8.031622712039269141e-01
6.500000000000000222e-01 6.000000000000000000e+00 7.936286319404783907e-01
8.000000000000000444e-01 6.000000000000000000e+00 7.678084167624242840e-01
9.000000000000000222e-01 6.000000000000000000e+00 7.536917731650062402e-01
1.000000000000000000e+00 6.000000000000000000e+00 7.409672745237303459e-01
1.100000000000000089e+00 6.000000000000000000e+00 7.304636717656617373e-01
1.199999999999999956e+00 6.000000000000000000e+00 7.216199615519162114e-01
1.399999999999999911e+00 6.000000000000000000e+00 7.100935310427971547e-01
1.600000000000000089e+00 6.000000000000000000e+00 6.981342632994537167e-01
0.000000000000000000e+00 6.500000000000000000e+00 1.000000000000000000e+00
5.000000000000000278e-02 6.500000000000000000e+00 9.723156072583725162e-01
1.000000000000000056e-01 6.500000000000000000e+00 9.491136068211040167e-01
1.500000000000000222e-01 6.500000000000000000e+00 9.275861757226648852e-01
2.000000000000000111e-01 6.500000000000000000e+00 9.074494552039176209e-01
2.500000000000000000e-01 6.500000000000000000e+00 8.894400663838460952e-01
3.000000000000000444e-01 6.500000000000000000e+00 8.729201492324067946e-01
3.500000000000000333e-01 6.500000000000000000e+00 8.577175798461126321e-01
4.000000000000000222e-01 6.500000000000000000e+00 8.432216893296545779e-01
4.500000000000000111e-01 6.500000000000000000e+00 8.297342734673761599e-01
5.000000000000000000e-01 6.500000000000000000e+00 8.172203706685408076e-01
5.500000000000000444e-01 6.500000000000000000e+00 8.060036429791328505e-01
6.000000000000000888e-01 6.500000000000000000e+00 7.951694179640600435e-01
